Artigo,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
161,X,,,,,,X,X,,,,,,,,X,,Excluído
162,,,X,X,,,X,X,,,,,,,,,,Incluído
163,,,,,,,X,X,,,,X,,,,,,Excluído
164,,,,,,,X,X,,,,,,,,,X,Excluído
165,,,,,,,X,X,,,,X,,X,,,,Excluído
166,,,,X,,,X,X,,X,,X,,,,,,Excluído
167,,,X,,,,X,X,,,,X,,,,,,Excluído
168,,,,X,,,X,X,,X,,,,,,X,,Excluído
169,,X,,X,,,X,X,,,,,,,,,,Incluído
170,X,X,,,,,X,X,,,,,,,,X,X,Excluído
171,X,X,,X,X,,X,X,,,,,,,,,,Incluído
172,X,X,X,X,,,X,X,,,,X,,,,X,,Excluído
173,X,X,,X,,,X,X,,,,,,,,,,Incluído
174,X,,,,X,,X,X,,,,,,,,,,Incluído
175,X,X,,X,X,,X,X,,,,,,,,,,Incluído
176,X,,,,,,X,X,,,,X,,,,,,Excluído
177,X,X,,,,,X,X,,,,,,,,,,Incluído
178,,,,,,,X,X,,,,X,,X,,X,,Excluído
179,X,X,,,,,X,X,,,,,,,,X,,Excluído
180,X,,,,X,,X,X,,,,,,,,X,,Excluído
181,X,X,,X,X,,X,X,,,,X,,X,,X,,Excluído
182,,,,,,,X,X,,,,X,,X,,,,Excluído
183,,,,,,,X,X,,,,X,,X,,,,Excluído
184,X,X,,,,,X,X,,,,,,,,,,Incluído
185,,,,,,,X,X,,,,X,,X,,,,Excluído
186,X,X,,X,X,,X,X,,,,,,,,,,Excluído
187,,,,,,,X,X,,,,X,,X,,,,Excluído
188,X,X,,,,,X,X,,,,,,,,,,Incluído
189,,,,X,,,X,X,,,,X,,,,,,Excluído
190,X,,,,,,X,X,,,,,,X,X,,,Excluído
191,,,,,,,X,X,,,,,,X,X,,,Excluído
192,,,,,,,X,X,,,,X,,,,,,Excluído
193,,,,,,,X,X,,,,X,,,,X,,Excluído
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INCLUSÃO,,,,,9,,,,,,,,,,,,,
EXCLUSÃO,,,,,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CRITÉRIO J,,,,,2,,,,,,,,,,,,,
CRITÉRIO L,,,,,15,,,,,,,,,,,,,
CRITÉRIO N,,,,,9,,,,,,,,,,,,,
CRITÉRIO O,,,,,2,,,,,,,,,,,,,
CRITÉRIO P,,,,,9,,,,,,,,,,,,,
CRITÉRIO Q,,,,,2,,,,,,,,,,,,,
